PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1395;3210;-2;1;0
0;2;0;0;1395;602;26;2;1
0;3;0;602;1395;602;27;2;1
0;4;0;1204;1395;1927;-2;2;1
0;5;0;1204;606;1927;51;3;4
0;6;606;1204;737;1927;52;3;4
0;7;1343;1204;52;1927;-1;3;4
0;8;0;3131;1395;79;-1;2;1
0;9;1395;0;1743;3210;-2;1;0
0;10;1395;0;1743;459;-2;2;9
0;11;1395;0;1678;459;301;3;10
0;12;3073;0;65;459;-1;3;10
0;13;1395;459;1743;459;-2;2;9
0;14;1395;459;1678;459;302;3;13
0;15;3073;459;65;459;-1;3;13
0;16;1395;918;1743;459;-2;2;9
0;17;1395;918;1678;459;303;3;16
0;18;3073;918;65;459;-1;3;16
0;19;1395;1377;1743;1811;-2;2;9
0;20;1395;1377;581;1811;404;3;19
0;21;1976;1377;581;1811;405;3;19
0;22;2557;1377;581;1811;406;3;19
0;23;1395;3188;1743;22;-1;2;9
0;24;3138;0;2281;3210;-2;1;0
0;25;3138;0;2281;1964;-2;2;24
0;26;3138;0;25;1964;-1;3;25
0;27;3163;0;558;1964;79;3;25
0;28;3721;0;558;1964;80;3;25
0;29;4279;0;558;1964;81;3;25
0;30;4837;0;558;1964;82;3;25
0;31;5395;0;24;1964;-1;3;25
0;32;3138;1964;2281;737;-2;2;24
0;33;3138;1964;1927;737;53;3;32
0;34;5065;1964;354;737;-2;3;32
0;35;5065;1964;354;262;-1;4;34
0;36;5065;2226;354;475;155;4;34
0;37;3138;2701;2281;487;-2;2;24
0;38;3138;2701;1174;487;-2;3;37
0;39;3138;2701;1174;455;218;4;38
0;40;3138;3156;1174;32;-1;4;38
0;41;4312;2701;1077;487;54;3;37
0;42;5389;2701;30;487;-1;3;37
0;43;3138;3188;2281;22;-1;2;24
0;44;5419;0;581;3210;-2;1;0
0;45;5419;0;581;1000;-2;2;44
0;46;5419;0;500;1000;351;3;45
0;47;5919;0;81;1000;-1;3;45
0;48;5419;1000;581;347;-2;2;44
0;49;5419;1000;508;347;83;3;48
0;50;5927;1000;73;347;-1;3;48
0;51;5419;1347;581;1811;407;2;44
0;52;5419;3158;581;52;-1;2;44
1;53;0;0;6000;3210;-2;0;
1;54;0;0;1206;3210;-2;1;53
1;55;0;0;1206;552;-2;2;54
1;56;0;0;1165;552;28;3;55
1;57;1165;0;41;552;-1;3;55
1;58;0;552;1206;413;-2;2;54
1;59;0;552;1083;413;429;3;58
1;60;1083;552;123;413;-1;3;58
1;61;0;965;1206;487;-2;2;54
1;62;0;965;129;487;-1;3;61
1;63;129;965;1077;487;55;3;61
1;64;0;1452;1206;1712;-2;2;54
1;65;0;1452;406;1712;304;3;64
1;66;406;1452;373;1712;-2;3;64
1;67;406;1452;373;1557;276;4;66
1;68;406;3009;373;155;-1;4;66
1;69;779;1452;406;1712;305;3;64
1;70;1185;1452;21;1712;-1;3;64
1;71;0;3164;1206;46;-1;2;54
1;72;1206;0;1842;3210;-2;1;53
1;73;1206;0;1842;1775;-2;2;72
1;74;1206;0;466;1775;-2;3;73
1;75;1206;0;466;1599;306;4;74
1;76;1206;1599;466;176;-1;4;74
1;77;1672;0;466;1775;-2;3;73
1;78;1672;0;466;176;-1;4;77
1;79;1672;176;466;1599;307;4;77
1;80;2138;0;455;1775;-2;3;73
1;81;2138;0;455;1744;244;4;80
1;82;2138;1744;455;31;-1;4;80
1;83;2593;0;455;1775;-2;3;73
1;84;2593;0;455;1744;245;4;83
1;85;2593;1744;455;31;-1;4;83
1;86;1206;1775;1842;1435;-2;2;72
1;87;1206;1775;400;1435;-2;3;86
1;88;1206;1775;400;1400;379;4;87
1;89;1206;3175;400;35;-1;4;87
1;90;1606;1775;600;1435;-2;3;86
1;91;1606;1775;600;1396;130;4;90
1;92;1606;3171;600;39;-1;4;90
1;93;2206;1775;400;1435;-2;3;86
1;94;2206;1775;400;1400;380;4;93
1;95;2206;3175;400;35;-1;4;93
1;96;2606;1775;400;1435;-2;3;86
